epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.818,1.21365,1.52105,0.83401,0.67164,0.46482,0.47636,0.29808,0.95494,1.06521,0.8012,0.000405983,0.000405983,0.000405983
2,74.4449,1.18157,0.73619,0.81342,0.34504,0.65911,0.26177,0.15523,nan,nan,nan,0.000806361,0.000806361,0.000806361
3,108.653,1.24065,0.73846,0.82071,0.7516,0.57978,0.60112,0.34131,1.12825,1.0517,0.81085,0.00119024,0.00119024,0.00119024
4,143.555,1.20149,0.65211,0.81653,0.76836,0.603,0.65949,0.40287,1.08262,0.71229,0.81575,0.00117575,0.00117575,0.00117575
5,178.573,1.18339,0.61267,0.80953,0.86552,0.66647,0.74059,0.45452,0.9878,0.5503,0.80271,0.001151,0.001151,0.001151
6,215.562,1.10988,0.58032,0.80538,0.76388,0.6343,0.68245,0.42121,0.99385,0.55636,0.80509,0.00112625,0.00112625,0.00112625
7,249.267,1.07112,0.56669,0.80546,0.77578,0.6231,0.71277,0.46093,1.01279,0.58278,0.80613,0.0011015,0.0011015,0.0011015
8,285.368,1.10426,0.5704,0.80473,0.82321,0.68005,0.71465,0.46728,0.94794,0.50038,0.80818,0.00107675,0.00107675,0.00107675
9,325.042,1.06478,0.5368,0.80074,0.69944,0.50681,0.53893,0.28677,1.39561,0.66835,0.84592,0.001052,0.001052,0.001052
10,358.277,1.05746,0.52312,0.80116,0.83648,0.68124,0.73904,0.47809,0.9554,0.48725,0.80614,0.00102725,0.00102725,0.00102725
11,392.748,1.00864,0.49819,0.79953,0.83396,0.70059,0.75982,0.51023,0.9179,0.45577,0.8015,0.0010025,0.0010025,0.0010025
12,432.673,1.04549,0.50691,0.79962,0.86044,0.70554,0.75792,0.51017,0.89957,0.43689,0.80113,0.00097775,0.00097775,0.00097775
13,465.831,0.99486,0.48677,0.79693,0.81843,0.65553,0.71496,0.45638,0.94763,0.49556,0.80088,0.000953,0.000953,0.000953
14,499.255,1.03755,0.50624,0.80102,0.88654,0.68158,0.7312,0.46799,0.9442,0.46807,0.80388,0.00092825,0.00092825,0.00092825
15,534.798,0.98124,0.48476,0.79428,0.88267,0.63644,0.72621,0.46502,0.9549,0.4712,0.80518,0.0009035,0.0009035,0.0009035
16,573.88,0.95989,0.47056,0.79288,0.85034,0.6867,0.76202,0.51017,0.94502,0.46175,0.80373,0.00087875,0.00087875,0.00087875
17,608.65,0.95611,0.47144,0.79305,0.86857,0.70744,0.75167,0.48849,0.9079,0.45623,0.80219,0.000854,0.000854,0.000854
18,645.528,0.95568,0.46074,0.79368,0.90592,0.7292,0.77797,0.53882,0.84142,0.41906,0.79734,0.00082925,0.00082925,0.00082925
19,682.096,0.89584,0.43908,0.7892,0.88378,0.72901,0.77817,0.52423,0.85339,0.42045,0.7979,0.0008045,0.0008045,0.0008045
20,715.408,0.90708,0.44556,0.78979,0.89043,0.71109,0.77558,0.52063,0.87562,0.42257,0.79746,0.00077975,0.00077975,0.00077975
21,748.85,0.90424,0.43819,0.79043,0.87533,0.72214,0.78294,0.52402,0.88885,0.44262,0.8004,0.000755,0.000755,0.000755
22,782.468,0.9331,0.44466,0.79302,0.92143,0.70648,0.79567,0.51143,0.95052,0.44905,0.80249,0.00073025,0.00073025,0.00073025
23,816.308,0.92206,0.44658,0.79109,0.88907,0.71643,0.80201,0.52227,0.90262,0.43238,0.80067,0.0007055,0.0007055,0.0007055
24,850.086,0.89421,0.431,0.78883,0.8841,0.73741,0.79054,0.53853,0.8863,0.42346,0.79774,0.00068075,0.00068075,0.00068075
25,887.735,0.90588,0.43594,0.78868,0.93417,0.72549,0.781,0.54328,0.83765,0.41306,0.79576,0.000656,0.000656,0.000656
26,924.327,0.89778,0.42972,0.78753,0.9099,0.73338,0.78284,0.54705,0.83241,0.41015,0.79554,0.00063125,0.00063125,0.00063125
27,961.216,0.87262,0.42141,0.78784,0.92137,0.67191,0.78837,0.53494,0.83843,0.41794,0.79584,0.0006065,0.0006065,0.0006065
28,999.709,0.8727,0.4147,0.78998,0.90345,0.75006,0.80093,0.55028,0.81379,0.38392,0.79596,0.00058175,0.00058175,0.00058175
29,1034.45,0.85232,0.41186,0.78511,0.90902,0.73916,0.79003,0.55591,0.81749,0.38656,0.79548,0.000557,0.000557,0.000557
30,1071.43,0.90608,0.4209,0.78828,0.89811,0.71119,0.7776,0.54699,0.81396,0.41076,0.79425,0.00053225,0.00053225,0.00053225
31,1104.72,0.87174,0.41384,0.78672,0.91607,0.74001,0.79164,0.55671,0.7856,0.39083,0.79455,0.0005075,0.0005075,0.0005075
32,1142.19,0.84718,0.40131,0.78525,0.87859,0.73621,0.80617,0.55362,0.80318,0.39759,0.79364,0.00048275,0.00048275,0.00048275
33,1175.49,0.84968,0.3981,0.78602,0.94427,0.7387,0.79839,0.5538,0.82217,0.39358,0.79527,0.000458,0.000458,0.000458
34,1208.84,0.82129,0.3854,0.78666,0.88224,0.7626,0.8129,0.57614,0.81338,0.38974,0.79358,0.00043325,0.00043325,0.00043325
35,1245.88,0.82008,0.38388,0.78449,0.93961,0.73577,0.79847,0.56991,0.77435,0.37342,0.79157,0.0004085,0.0004085,0.0004085
36,1284.47,0.80221,0.38297,0.78521,0.88573,0.75745,0.80139,0.56328,0.78464,0.37735,0.79188,0.00038375,0.00038375,0.00038375
37,1323.82,0.80371,0.38028,0.78157,0.91531,0.74213,0.80058,0.55129,0.80368,0.38342,0.79249,0.000359,0.000359,0.000359
38,1364.61,0.81502,0.38442,0.78245,0.944,0.73079,0.81288,0.55541,0.80273,0.36764,0.7948,0.00033425,0.00033425,0.00033425
39,1405.41,0.81561,0.37875,0.78157,0.96021,0.71335,0.81303,0.55935,0.7926,0.39361,0.79117,0.0003095,0.0003095,0.0003095
40,1446.37,0.78938,0.36988,0.78232,0.94001,0.73556,0.8162,0.57477,0.76647,0.36964,0.79129,0.00028475,0.00028475,0.00028475
41,1487.54,0.74105,0.36112,0.78123,0.87433,0.72727,0.78153,0.55727,0.77578,0.37882,0.79164,0.00026,0.00026,0.00026
42,1526.31,0.72628,0.35446,0.77919,0.92545,0.69967,0.76987,0.52599,0.79947,0.38728,0.79195,0.00023525,0.00023525,0.00023525
43,1560.27,0.72054,0.34606,0.78057,0.89897,0.72025,0.78605,0.54346,0.77968,0.38731,0.79103,0.0002105,0.0002105,0.0002105
44,1593.8,0.72219,0.34909,0.77951,0.85262,0.75904,0.80861,0.56984,0.76886,0.37033,0.79086,0.00018575,0.00018575,0.00018575
45,1634.41,0.72107,0.34769,0.78039,0.88158,0.72047,0.80728,0.55726,0.78243,0.38509,0.7919,0.000161,0.000161,0.000161
46,1673,0.71056,0.34161,0.77765,0.95252,0.754,0.81207,0.57272,0.77447,0.3665,0.79115,0.00013625,0.00013625,0.00013625
47,1712.72,0.71417,0.33842,0.78155,0.9107,0.7204,0.80641,0.5805,0.77064,0.37516,0.7919,0.0001115,0.0001115,0.0001115
48,1758.49,0.69283,0.33432,0.77704,0.91295,0.75206,0.81272,0.57574,0.77085,0.36037,0.79075,8.675e-05,8.675e-05,8.675e-05
49,1797.96,0.67609,0.32754,0.77584,0.91442,0.74661,0.81038,0.58452,0.75005,0.35442,0.78927,6.2e-05,6.2e-05,6.2e-05
